id,japaneseName,photo,dateTaken,placeName,latitude,longitude,prefecture,country,individualType,memo,speciesGroupID
1,アトリ,/写真保管フォルダ/アトリ_1_20260305_京都御苑.jpg,2026/3/5,京都御苑,35.0253,135.7621,京都府,日本,成鳥メス,バードパス,アトリ
2,ジョウビタキ,/写真保管フォルダ/ジョウビタキ_1_20260223_平城宮跡.jpg,2026/2/23,平城宮跡,34.69103165,135.795792,京都府,日本,成鳥メス,,ジョウビタキ
3,ジョウビタキ,/写真保管フォルダ/ジョウビタキ_2_20260323_愛知県.jpg,2026/3/23,愛知県,35.21654921,136.8436041,京都府,日本,成鳥メス,,ジョウビタキ
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
